END_ID;latitude;longitude;SUBCLASS;SUBHIERARQUIA;NOME DO PRÉDIO;NE NAME;REGIONAL;UF;Testes Programados GMG;MANTENEDORA;ATENDIMENTO;LOCALIDADE;TIPO ;DETENTOR DA ÁREA;TIPO DE INFRA;TIPO DE ABRIGO ;OWNER RESPONSÁVEL;Resp. Green;CLASSIFICAÇÃO;Elemento de rede;TIPOLOGIA TRANSPORTE;REGIONAL_OLD;TIPO DE CONTRATO DA ÁREA;TIPO DE ABRIGO;ENDEREÇO;LATITUDE;LONGITUDE;CLASSFICAÇÃO GSBI
SPSPO_2490;-23,56972;-46,71472;;;;;;;;;;;;;;;;;;;;;;;;;;
RRBVA_0017;2,82293;-60,67425;;;;;;;;;;;;;;;;;;;;;;;;;;
SPPPE_0020;-22,12122;-51,38781;;;;;;;;;;;;;;;;;;;;;;;;;;
SESDS_0001;-10,73947;-37,80628;;;;;;;;;;;;;;;;;;;;;;;;;;
ALMCO_0066;-9,62531;-35,71725;;;;;;;;;;;;;;;;;;;;;;;;;;
PECFX_0001;-8,36336;-35,76197;;;;;;;;;;;;;;;;;;;;;;;;;;
PBJPA_0046;-7,14972;-34,89447;DCE-R; ;JOÃO PESSOA I;PIJPA01;TNE;PB;;GREEN 4T;Horário comercial (8x5) + Plantão;JOAO PESSOA;PRÓPRIO;TIM;PRÉDIO;SALA;Guilherme Vitor Lima;Durval Costa;MAIN BUILDING;;;;;;;;;
RNCGM_0003;-6,37233;-35,13383;;;;;;;;;;;;;;;;;;;;;;;;;;
RNNTL_0019;-5,77944;-35,19781;;;;;;;;;;;;;;;;;;;;;;;;;;
PEOLD_0001;-7,995;-34,85306;;;;;;;;;;;;;;;;;;;;;;;;;;
PERCE_0048;-8,06083;-34,88861;;;;;;;;;;;;;;;;;;;;;;;;;;
CEPUU_0001;-3,41056;-39,02639;;;;;;;;;;;;;;;;;;;;;;;;;;
PIDVB_0001;-5,36084;-42,67808;POP LD;;DEMERVAL LOBAO;;TNE;PI;;;;;;AMERICAN TOWER;GREENFIELD;;;;MAIN SITE;;POP LD - Prioridade 3 - ILA;TNE;COMPARTILHADO;0;RUA LUIS ROSA, S/N;-5,360833 ;-42,678083 ;Silver
AMMNS_0047;-3,12922;-60,0265;AGREGADOR E DISTRIBUIDOR;;MANAUS;;TCN;AM;;;;;;ATC;GREENFIELD;;;;MAIN SITE;RMAGMNS-MNS04-01;Agregador MSII;TNO;COMPARTILHADO;OPSS;RUA  LUIS ANTONY  S/N  ENTRADA PELA VIA EPAMINONDAS, 419  VILA BURITI;-3.129317 ;-60.027214 ;Gold
RNSII_0001;-6,07167;-35,23947;;;;;;;;;;;;;;;;;;;;;;;;;;
RSCODC0001;-28,93639;-54,55694;;;;;;;;;;;;;;;;;;;;;;;;;;
